/home/wbeirigo/Clima/weather/proj
RP002;RP02;1;
ML002;ML02S;0;
ML001;ML01S;0;
SPV30 IL;SP030;1;
SPV20 IL;SP020;1;
GF001;GF01;1;
AN001;AN001;1;
AN002;AN002;1;
CJ003;CJ003;1;
CJ002 F;CJ002F;1;
CJ002 ZF;CJ002ZF;1;
CJ002 S;CJ002;1;
CJ001;CJ001;1;
NP090;NP90;1;
PF004;PF004;1;
PF003;PF003;1;
NP080 S;NP80S;1;
NP080 1/2 ZF;NP80ZF;1;
NP080 F;NP80F;1;
PF002;PF002;1;
NP070 S;NP70S;1;
NP070 F;NP70F;1;
NP070 1/2 ZF;NP70ZF;1;
NP060;NP60;1;
PF001;PF001;1;
JC001;JC001;1;
JC002;JC002;1;
JC003;JC003;1;
NP050 S;NP50S;1;
NP050 F;NP50F;1;
NP050 1/2 ZF;NP50ZF;1;
SB003;SB003;1;
NP040 S;NP40S;1;
SB002;SB002;1;
NP040 1/2 ZF;NP40ZF;1;
NP040 F;NP40F;1;
LD001;LD001;1;
NP030 S;NP30S;1;
NP030 1/2 ZF;NP30ZF;1;
NP030 F;NP30F;1;
LD002;LD002;1;
XC001;XC001;1;
XC003;XC003S;0;
NP100;NP100;1;
NP020;NP20;1;
NP010;NP10;1;
PI003;PI03;1;
PI002;PI02;1;
PI001;PI01;1;
CM001 1/2 ZF;CM001ZF;1;
CM001 S;CM001S;1;
CM001 F;CM001F;1;
